DEPARTAMENTO,PROVINCIA,MUNICIPIO,CODIGO,COD_INE,Captura.ca,Riqueza.es,Abu.rrhh,Ap.suelo,Minero,Piscicol,Turismo,Agro.inten,Agro.exten,Agrosilvo,Ap.fores,Uso.limit,R.actv.prd,Acc.agua,Acc.salud,Acc.edu,Acc.vivien,Acc.EE,Clasifica,porc_i.CSV,latitude,longitude,area_km2,area_ha
Santa Cruz,Velasco,San Rafael,"070303",70303,"12","49","9","70","6","72","10","9","14","8","11","33","0","40","22","32","22","45",Alto,"41",-16.81550,-60.14096,9715.94,971594.50
Santa Cruz,Cordillera,Boyuibe,"070707",70707,"14","66","9","60","16","30","0","7","32","25","3","0","19","42","35","37","28","43",Medio,"38",-20.33884,-63.07628,1623.66,162366.23
Santa Cruz,Florida,Pampa Grande,"070902",70902,"20","55","10","68","8","32","10","26","12","19","11","21","0","44","36","38","28","44",Alto,"41",-18.04540,-64.15343,1007.04,100703.99
Santa Cruz,Florida,Samaipata,"070901",70901,"19","53","10","72","7","32","10","0","0","1","8","28","17","41","37","38","28","46",Bajo,"32",-18.17527,-63.75002,1926.26,192626.46
Santa Cruz,Florida,Mairana,"070903",70903,"22","58","11","65","10","32","10","0","0","0","10","28","0","41","35","37","28","44",Bajo,"32",-17.98458,-64.00690,744.00,74399.72
Santa Cruz,Valle Grande,Trigal,"070802",70802,"12","43","8","69","4","32","0","0","0","0","9","0","0","43","26","35","30","41",Bajo,"22",-18.28708,-64.13266,400.63,40063.50
Santa Cruz,Valle Grande,Moro Moro,"070803",70803,"10","57","11","74","9","32","10","11","2","3","8","0","0","42","34","37","30","44",Bajo,"31",-18.32060,-64.34399,680.50,68050.24
Santa Cruz,Manuel María Caballero,Saipina,"071302",71302,"6","53","10","65","7","32","10","3","19","5","2","0","0","41","28","34","22","47",Bajo,"29",-18.02356,-64.63993,449.97,44997.07
Santa Cruz,Florida,Quirusillas,"070904",70904,"20","54","10","63","7","0","10","1","86","2","8","35","17","44","30","37","26","46",Medio,"40",-18.37057,-63.93746,287.32,28732.20
Santa Cruz,Andres Ibañez,Cotoca,"070102",70102,"12","61","17","73","13","65","10","35","4","42","4","0","24","37","26","31","27","36",Muy Alto,"50",-17.75478,-62.90828,621.16,62115.88
Santa Cruz,Valle Grande,Pucará,"070805",70805,"17","55","10","52","8","55","10","5","0","5","9","0","11","40","25","34","26","46",Bajo,"32",-18.76248,-64.19107,683.52,68352.15
Santa Cruz,Andres Ibañez,El Torno,"070105",70105,"26","60","12","70","12","31","10","11","1","0","11","28","36","43","29","34","21","43",Medio,"37",-18.04880,-63.46886,970.15,97015.05
Santa Cruz,Andres Ibañez,Santa Cruz de la Sierra,"070101",70101,"8","48","12","76","6","70","10","0","0","0","4","0","24","37","28","34","29","43",Bajo,"33",-17.80706,-62.99812,1299.76,129975.84
Santa Cruz,Valle Grande,Postrer Valle,"070804",70804,"19","55","10","63","8","32","10","28","5","5","8","35","17","43","29","34","25","40",Medio,"40",-18.62508,-63.76318,1117.71,111770.56
Santa Cruz,Andres Ibañez,La Guardia,"070104",70104,"16","59","11","74","10","55","51","0","0","0","8","35","28","41","35","37","29","45",Alto,"48",-18.05372,-63.23395,977.92,97791.78
La Paz,Bautista Saavedra,Curva,"021602",21602,"31","60","55","65","33","54","0","10","74","23","11","9","16","43","27","37","31","46",Muy Alto,"58",-14.98522,-68.96548,584.89,58488.77
Potosi,Nor Lipez,"Colcha""K""","050901",50901,"6","62","39","71","54","70","72","1","2","3","1","0","7","42","30","35","25","44",Muy Alto,"58",-21.20434,-67.31420,18203.73,1820372.54
Oruro,Mejillones,Carangas,"041503",41503,"6","64","27","54","15","0","0","6","3","12","1","0","11","42","28","34","20","44",Bajo,"26",-18.90157,-68.66542,227.68,22768.49
Oruro,Mejillones,La Rivera,"041501",41501,"5","59","34","58","10","0","0","0","21","1","1","0","8","48","26","33","23","35",Bajo,"25",-19.06205,-68.66012,218.59,21859.50
Oruro,Mejillones,Todos Santos,"041502",41502,"3","43","13","51","5","0","0","0","0","0","3","0","11","44","27","34","21","45",Bajo,"17",-19.02815,-68.75862,218.71,21871.48
